OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Median Age for Chart
47,47,11,21,COLLIER,Collier,FL,14780,284,483,1112,1574,1715,1930,2306,2645,2051,672,8,0 to 105,56,8052,6696,32,14424,356,0,312,13044,356,1581,153,1874,12889,4,13,14407,1536,262,60,16,888,910,0,1798,41,96,221,269,298,288,261,180,152,68,0,0 to 101,45,1105,99,174,420,935,492,371,331,20,231,11,5,55,1874,954,920,1798,76,0,16757,280,18920,17037,1874,55,1621,625,5197102107.68439,580181.883282756,57
48,48,13,25,DADE,Dade,FL,156545,1620,2328,11607,24591,24785,28529,27129,18535,10594,6234,593,0 to 225,49,82045,73283,1217,155464,1080,1,3418,143405,2785,13664,940,19056,137228,193,68,155205,18055,805,188,8,9405,9448,7,18860,108,234,1540,3127,3012,3525,3102,2069,1324,1007,8,0 to 108,49,10408,3036,914,4502,10181,4082,4597,5054,44,3113,30,11,760,19056,9577,9472,18859,196,1,176023,883,196161,176906,19056,760,2359,1620,5114451079.58835,540836.793924443,49
49,49,44,87,MONROE,Monroe,FL,3013,24,39,175,329,407,523,662,507,251,94,2,0 to 101,55,1596,1382,35,2957,56,0,928,1793,83,624,96,110,2836,2,65,2890,80,19,7,4,47,52,0,99,0,3,7,13,13,17,22,16,13,6,0,6 to 91,55,76,5,1,17,22,56,21,14,3,10,2,0,4,110,58,52,99,11,0,3478,45,3635,3523,110,4,329,69,2629619857.16548,1399292.97354894,49
50,50,57,113,SANTA ROSA,Santa Rosa,FL,6887,226,261,522,909,963,1028,1150,1041,542,235,10,0 to 119,50,3772,3087,28,6821,66,0,71,6615,99,215,58,256,6628,2,1,6818,212,40,4,0,72,180,0,252,3,2,19,50,45,49,38,32,11,7,0,0 to 94,46,178,43,5,26,15,192,45,27,0,25,0,0,9,256,180,76,252,4,0,8813,62,9134,8875,256,9,618,95,2596863920.94926,364280.718031263,49
51,51,66,131,WALTON,Walton,FL,1606,48,34,96,163,202,241,285,244,158,132,3,0 to 101,55,897,672,37,1550,56,0,26,1494,15,144,37,124,1481,1,0,1549,85,23,13,3,65,43,0,108,2,4,8,13,19,17,26,16,13,6,0,1 to 101,54,97,8,1,2,14,90,4,19,3,17,2,0,9,124,49,75,108,16,0,1864,40,2032,1904,124,9,79,26,2708101782.46999,370154.781284707,49
52,52,32,63,JACKSON,Jackson,FL,2974,23,30,236,509,512,519,465,306,228,140,6,0 to 105,48,1329,1549,96,2951,23,0,18,2614,19,270,21,298,2672,3,1,2947,253,36,8,1,60,229,0,289,2,6,27,72,70,58,44,13,5,1,0,0 to 87,40,120,124,11,34,22,165,102,33,2,20,0,0,1,298,233,65,289,9,0,3671,14,3990,3685,298,1,311,160,2452499072.79567,223828.324060307,36
53,53,67,133,WASHINGTON,Washington,FL,881,11,15,51,90,109,138,190,126,96,55,0,0 to 119,56,519,339,23,875,6,0,28,753,9,103,12,79,797,0,5,870,59,18,2,0,38,39,0,77,0,2,4,7,8,6,17,15,13,7,0,9 to 99,60,33,11,0,33,1,41,35,4,0,14,0,0,5,79,39,40,77,2,0,1147,4,1231,1151,79,5,96,53,1594396648.51196,243766.072259733,54
54,54,45,89,NASSAU,Nassau,FL,3222,44,51,224,326,364,442,621,595,381,170,4,0 to 103,57,1732,1285,205,3114,108,0,37,3128,28,62,28,82,3140,0,0,3114,62,13,5,2,39,36,0,75,0,1,13,15,14,8,9,13,6,3,0,14 to 89,44,58,12,2,3,1,71,3,24,0,15,0,0,1,82,39,43,75,7,0,4020,101,4203,4121,82,1,52,46,1641620662.32831,388721.737801268,49
55,55,22,43,GLADES,Glades,FL,222,2,7,21,34,43,29,27,29,23,6,1,1 to 90,46,99,121,2,222,0,0,36,148,3,71,0,81,141,0,0,222,79,2,0,0,16,65,0,81,1,2,7,19,23,14,8,5,1,1,0,3 to 89,39,63,7,2,9,50,20,11,14,0,8,0,0,1,81,65,16,81,0,0,276,0,357,276,81,1,88,39,2551976411.00452,236757.936928168,61
56,56,8,15,CHARLOTTE,Charlotte,FL,5401,60,48,239,445,520,738,1038,1037,729,541,6,0 to 119,61,3182,2146,73,5383,18,0,127,4932,62,487,20,481,4915,1,4,5378,336,143,1,1,295,184,0,479,4,4,13,45,28,52,88,75,77,95,0,0 to 101,66,394,53,9,23,24,423,32,97,1,128,1,0,72,481,185,296,479,2,0,6247,16,6745,6263,481,72,79,59,1825525431.11919,398247.923422686,68
